address;Mint;Leak;Limit
0x93023F1D3525E273F291B6f76d2F5027A39BF302;1;0;1
0x2753dcE37A7eDB052a77832039bcc9aA49Ad8b25;0;0;1
0x94b7D24552933F50A5A5705C446528806dCeA381;0;0;0
0xE0b9d4146AaD6936cBfcBE4dAE47e34aAb96b093;0;0;0
0x10f6f2b97F3aB29583D9D38BaBF2994dF7220C21;1;0;1
0x11CBC781DadAAD13fc3a361772C80B1C027820AF;0;0;0
0x3E597EA168A85AA2AE5E2c4333665Bcd875eD10F;0;0;1
0x292E89d5D5BDab3aF2f5838C194c1983f0140b43;0;0;1
0xEF20505c8b343d12DA174Bf9D8495C1Ce2670989;0;0;1
0xC71D244f7aD6C869ecBF13cBd9acaE31718bE4F8;0;0;1
0x5927b72440D8A8b8c6ca5A8be60e88975F9063fc;0;0;1
0xc709878167Ed069Aea15FD0bD4E9758CEb4Da193;0;0;0
0x1e4402Fa427a7A835fC64ea6d051404ce767A569;0;1;1
0xcb6CD204D783DC8d66896A6DEf5867d332228D7b;0;0;1
0x455dedAcbe41c178953119847F2b95E2d9AD0a1D;0;1;1
0x831467b7B6BF9C705dC87899d48b57eE55C8d5cc;1;0;0
0x6609F543d38816116fa5b9a98C918cA947f5455D;0;0;0
0x90F75ca026adD95aE15ECBf48EFc77ED272945bE;1;1;0
0x52E4339B4b9fF254738D6E971E83440F60DC029c;1;0;1
0x51C5807dd8398aeDFCc91E6483417838B41EAeB8;0;0;0
0xA0ffC741F109159ee203424A299E6d2731dcFC76;0;0;0
0x9372b371196751dd2F603729Ae8D8014BbeB07f6;1;0;0
0x186ED770eEcEA82Def7C92DCC077C4Ba27acD5BD;1;0;1
0x28c748535cC0c774d7bB046aDba0C9d77E3b4c92;0;0;1
0xD00736F864Ecd5BEF5996c735F98769aE0d10c7c;0;0;1
0x9A3fB36bF72a387fCC821A38eE9F50f1A0eb8Cbd;1;0;1
0xE7E63e244c52b2230666e263657bA8Db2B6b3705;1;0;1
0x25d8f027Fd25eecBcd812521fb2F75f175807A91;1;0;1
0x1250b98CBDe9F99f4c42dCdaCeE193221f17eb50;1;0;0
0x0414D8C87b271266a5864329fb4932bBE19c0c49;1;0;0
0x292f57c7FCD726BA651e46B620D99Cc6AfE0EC1c;0;1;1
0x9dB8a10C7FE60d84397860b3aF2E686D4F90C2b7;1;1;1
0xAbE776435f7459E2f5bA773Bfb753ed19a053dD0;0;0;0
0x8D07f605926837Ea0F9E1e24DbA0Fb348cb3E97D;0;1;1
0x42269AC712372AC89A158ad5a32806c6b6782d66;0;1;0
0xDF7ff95Aa3D855A6fB21399432166A92FdcF1b1A;1;0;0
0x198376f921570e3cc547Fd5C16e482Cded8B4D1D;0;0;1
0x9D52414c4cc1Fb8e7864A9B59495F430f8E5DE44;0;0;0
0x50C6eC50a89a946C5886Aeb54a22fe732558F7D1;0;1;0
0xdE9E52F1838951e4d2bb6C59723B003c353979b6;1;0;0
0xE1A0CE8B94c6A5E4791401086763d7bD0a6C18f5;0;0;0
0x85AA3f04e539e426cbB55c0D584ea99cFE1D96A1;0;0;0
0xE4182E57EEb29FBc2B3469e45C9e385CEa8995AB;0;0;0
0xf0b692aCE03fFB689628E68D4919F91723D1c5a2;0;0;0
0xAAf8c293Ed36989D1871d2310B2845450d885673;0;0;0
0x4165084A6e5388ce53c9D9892f904a2712Dd943A;0;0;1
0x91383A15C391c142b80045D8b4730C1c37ac0378;0;0;0
0x16DFb898cf7029303c2376031392cb9baC450f94;0;0;0
0x17E65E6b9B166Fb8e7c59432F0db126711246BC0;0;0;0
0xEc4Cb1148Ec60e00a6bFcFCE4482Db724DB6bdDe;0;0;0
0x6b5e9e55921e5e412cF1002599c05d4428cF50c5;0;0;0
0xa942890d7FC60F0D4a516f63dd273DcDE72aE6c9;1;0;1
0x797885C0a6CfffCbc4D2e3C1ca0B4F07112dB6a3;0;0;1
0xb504035a11E672e12a099F32B1672b9C4a78b22f;0;0;0
0xD28c8Ff18f811E5fcD9b5B07889A343da8FD6502;0;0;0
0xa7CD93eD3133d82781CC17460fe1500b69a1B514;0;0;0
0xD217Dc0cAB1C952a7cE6f4D7ca4549CdE1F37bb0;1;0;1
0xb131f4A55907B10d1F0A50d8ab8FA09EC342cd74;0;0;0
0x548c9731aE163A73A28916EEB11717FE446dAb54;1;0;0
0x8b2e68075a06959E3e35AA0e451a13e099e41b23;1;0;0
0x1c5Ee1FFeBeC5F3E1686e8E59d43F96A3c702B7f;0;0;0
0x108D0f1Fc10Ed324f8cC65D0a91CaD11cd4994A4;0;1;0
0xEe45E37e2B73E86c709d9edD1c8eA3B0ec72DaD3;0;0;1
0x8275eBF521Dc217aa79C88132017A5BCEf001dd9;0;0;0
0xB954562066c71b3E6e7b2ac330B03C74c0Dcd5AE;0;0;1
0xba751BFf276907C438e927D2c2f18dE574195e4B;1;0;1
0xF19308F923582A6f7c465e5CE7a9Dc1BEC6665B1;0;0;0
0x87230146E138d3F296a9a77e497A2A83012e9Bc5;0;0;0
0x82902C20c5826984588dcd2dfCC322e05DCc435c;0;0;1
